"","y","d","members_resid_bl","nadults_resid_bl","head_age_bl","act_livestock_bl","act_business_bl","borrowed_total_bl","members_resid_d_bl","nadults_resid_d_bl","head_age_d_bl","act_livestock_d_bl","act_business_d_bl","borrowed_total_d_bl","ccm_resp_activ","other_resp_activ","ccm_resp_activ_d","other_resp_activ_d","head_educ_1","nmember_age6_16","ID"
"1",25000,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,1
"2",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,2
"3",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3
"4",3528,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,3,4
"5",3528,0,5,2,40,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,5
"6",0,0,5,4,65,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
"7",8700,0,4,2,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7
"8",0,0,4,2,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8
"9",2000,0,2,2,50,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,9
"10",0,0,4,3,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
"11",0,0,3,2,35,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,11
"12",0,0,7,3,45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,12
"13",0,0,2,2,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
"14",0,0,6,2,35,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14
"15",8000,0,7,7,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"16",0,0,2,2,80,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,16
"17",0,0,6,6,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
"18",0,0,3,3,60,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18
"19",0,0,6,4,46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19
"20",0,0,7,4,41,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,20
