treated,age,age_2,educ,nodegree,black,hisp,married,re75,re75_dummy,re74,re74_dummy,re_diff_pre,afdc75,nchildren75,haschild,re79
0.0,42,1764,10,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,0.0
0.0,35,1225,14,0,1,0,0,0.0,0,0.0,0,0.0,1,2,1,0.0
0.0,44,1936,10,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,38,1444,10,1,1,0,0,1473.577,1,1473.577,1,0.0,1,1,1,4164.98
0.0,34,1156,10,1,1,0,0,0.0,0,0.0,0,0.0,1,4,1,0.0
0.0,31,961,11,1,1,0,0,4643.97,1,5210.029,1,-566.0590000000002,1,2,1,5266.092
0.0,34,1156,11,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,1834.228
0.0,32,1024,11,1,1,0,0,3792.92,1,9103.009,1,-5310.089,1,5,1,9959.433
0.0,25,625,11,1,1,0,0,622.5159,1,0.0,0,622.5159,1,1,1,9198.589
0.0,27,729,11,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,4704.973
0.0,27,729,10,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,205.1117
0.0,35,1225,12,0,1,0,0,0.0,0,0.0,0,0.0,1,2,1,0.0
0.0,28,784,11,1,1,0,0,1231.859,1,2111.759,1,-879.9000000000001,1,1,1,0.0
0.0,24,576,9,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,8687.824
0.0,32,1024,12,0,1,0,0,0.0,0,0.0,0,0.0,1,2,1,8092.039
0.0,26,676,11,1,1,0,0,8317.997,1,8317.997,1,0.0,1,1,1,757.7842
0.0,46,2116,11,1,0,1,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,40,1600,8,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,0.0
0.0,31,961,10,1,1,0,0,4741.515,1,4741.515,1,0.0,1,2,1,0.0
0.0,24,576,8,1,1,0,0,248.7186,1,331.6248,1,-82.90619999999998,1,1,1,1144.282
0.0,34,1156,12,0,0,0,0,0.0,0,0.0,0,0.0,1,2,1,913.1331
0.0,30,900,8,1,1,0,0,0.0,0,0.0,0,0.0,1,3,1,7334.006
0.0,42,1764,6,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,0.0
0.0,24,576,12,0,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,25,625,10,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,8548.767
0.0,24,576,9,1,0,1,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,33,1089,11,1,1,0,0,0.0,0,0.0,0,0.0,1,3,1,0.0
0.0,30,900,10,1,1,0,0,0.0,0,0.0,0,0.0,1,4,1,4819.49
0.0,26,676,14,0,1,0,0,0.0,0,0.0,0,0.0,1,1,1,9336.968
0.0,35,1225,12,0,0,0,0,1953.843,1,2605.124,1,-651.2809999999997,1,2,1,3475.162
0.0,31,961,12,0,1,0,0,0.0,0,0.0,0,0.0,1,3,1,8340.26
0.0,38,1444,8,1,1,0,1,5104.592,1,5104.592,1,0.0,1,4,1,0.0
0.0,56,3136,9,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,39,1521,9,1,0,0,0,0.0,0,0.0,0,0.0,1,3,1,0.0
0.0,29,841,12,0,1,0,0,11822.93,1,11863.38,1,-40.44999999999891,1,2,1,4982.421
0.0,46,2116,8,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,0.0
0.0,34,1156,11,1,1,0,0,0.0,0,0.0,0,0.0,1,0,0,2235.124
0.0,41,1681,10,1,1,0,0,9383.206,1,9415.312,1,-32.10599999999977,1,2,1,0.0
0.0,37,1369,11,1,1,0,0,359.5953,1,431.5143,1,-71.91899999999998,1,1,1,0.0
0.0,32,1024,13,0,1,0,0,0.0,0,0.0,0,0.0,1,4,1,0.0
0.0,39,1521,8,1,1,0,0,0.0,0,0.0,0,0.0,1,6,1,0.0
0.0,37,1369,8,1,1,0,0,5206.966,1,5206.966,1,0.0,1,6,1,0.0
0.0,33,1089,12,0,1,0,0,1459.934,1,1342.02,1,117.914,1,2,1,447.0085
0.0,46,2116,8,1,1,0,0,0.0,0,0.0,0,0.0,1,0,0,0.0
0.0,45,2025,9,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,0.0
0.0,45,2025,12,0,1,0,0,0.0,0,0.0,0,0.0,1,1,1,225.7619
0.0,29,841,12,0,1,0,0,809.6768,1,809.6768,1,0.0,1,3,1,0.0
0.0,45,2025,9,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,2536.502
0.0,22,484,12,0,1,0,0,1231.46,1,1641.947,1,-410.4869999999999,1,1,1,0.0
0.0,24,576,10,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,10425.33
0.0,27,729,10,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,8548.767
0.0,30,900,12,0,1,0,0,190.9974,1,190.9974,1,0.0,1,1,1,12042.56
0.0,44,1936,10,1,1,0,0,0.0,0,0.0,0,0.0,1,4,1,0.0
0.0,36,1296,8,1,1,0,0,200.0792,1,0.0,0,200.0792,1,4,1,0.0
0.0,26,676,12,0,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,24,576,12,0,1,0,0,0.0,0,0.0,0,0.0,1,3,1,8299.527
0.0,22,484,12,0,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,29,841,10,1,1,0,0,0.0,0,0.0,0,0.0,1,4,1,8092.039
0.0,42,1764,14,0,1,0,0,0.0,0,0.0,0,0.0,1,0,0,0.0
0.0,36,1296,10,1,0,1,0,0.0,0,0.0,0,0.0,1,3,1,0.0
0.0,26,676,11,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,32,1024,11,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,47,2209,3,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,40,1600,12,0,1,0,0,0.0,0,0.0,0,0.0,1,2,1,1865.779
0.0,36,1296,12,0,1,0,0,0.0,0,0.0,0,0.0,1,1,1,9730.356
0.0,26,676,10,1,1,0,0,2545.699,1,2545.699,1,0.0,1,2,1,0.0
0.0,32,1024,8,1,1,0,0,856.1854,1,856.1854,1,0.0,1,3,1,0.0
0.0,31,961,6,1,0,1,0,0.0,0,0.0,0,0.0,1,5,1,0.0
0.0,27,729,10,1,1,0,1,0.0,0,0.0,0,0.0,1,1,1,2076.132
0.0,46,2116,6,1,1,0,1,0.0,0,0.0,0,0.0,1,2,1,798.3813
0.0,31,961,12,0,1,0,0,0.0,0,0.0,0,0.0,1,1,1,0.0
0.0,33,1089,12,0,1,0,0,564.3965,1,564.3965,1,0.0,1,2,1,0.0
0.0,25,625,12,0,0,1,0,0.0,0,0.0,0,0.0,1,1,1,7554.918
0.0,43,1849,10,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,0.0
0.0,34,1156,10,1,1,0,0,0.0,0,0.0,0,0.0,1,4,1,0.0
0.0,38,1444,11,1,1,0,0,0.0,0,0.0,0,0.0,1,1,1,12780.2
0.0,50,2500,9,1,1,0,0,0.0,0,0.0,0,0.0,1,2,1,12866.49
0.0,40,1600,12,0,0,1,0,2950.507,1,2950.507,1,0.0,1,6,1,0.0
