"train","age","educ","black","hisp","married","re74","re75","unem75","unem74","re78"
1,37,11,1,0,1,0,0,1,1,9.93004989624023
1,30,12,1,0,0,0,0,1,1,24.9095001220703
1,27,11,1,0,0,0,0,1,1,7.50614976882935
1,33,8,1,0,0,0,0,1,1,0.289790004491806
1,22,9,1,0,0,0,0,1,1,4.05648994445801
1,23,12,1,0,0,0,0,1,1,0
1,32,11,1,0,0,0,0,1,1,8.47216033935547
1,22,16,1,0,0,0,0,1,1,2.16402006149292
1,19,9,1,0,0,0,0,1,1,8.17391014099121
1,21,13,1,0,0,0,0,1,1,17.0945987701416
1,18,8,1,0,0,0,0,1,1,0
1,27,10,1,0,1,0,0,1,1,18.7399005889893
1,17,7,1,0,0,0,0,1,1,3.02387976646423
1,19,10,1,0,0,0,0,1,1,3.22849988937378
1,27,13,1,0,0,0,0,1,1,14.5819005966187
1,23,10,1,0,0,0,0,1,1,7.69339990615845
1,40,12,1,0,0,0,0,1,1,10.8042993545532
1,26,12,1,0,0,0,0,1,1,10.7474002838135
1,23,11,1,0,0,0,0,1,1,0
1,24,11,1,0,0,0,0,1,1,1.99140000343323
1,18,10,1,0,0,0,0,1,1,11.163200378418
1,29,11,1,0,1,0,0,1,1,9.64299964904785
1,25,11,1,0,0,0,0,1,1,9.89704990386963
1,17,10,1,0,0,0,0,1,1,16.2180004119873
1,24,11,1,0,0,0,0,1,1,0.995700001716614
1,17,10,1,0,0,0,0,1,1,0
1,48,4,1,0,0,0,0,1,1,6.55158996582031
1,25,11,1,0,1,0,0,1,1,1.57442009449005
1,20,12,1,0,0,0,0,1,1,0
1,25,12,1,0,0,0,0,1,1,3.19175004959106
1,42,14,1,0,0,0,0,1,1,20.5059013366699
1,25,5,1,0,0,0,0,1,1,6.18187999725342
1,23,12,1,0,1,0,0,1,1,5.91154956817627
1,46,8,1,0,1,0,0,1,1,3.09415984153748
1,24,10,1,0,0,0,0,1,1,0
1,21,12,1,0,0,0,0,1,1,1.25457990169525
1,17,8,1,0,0,0,0,1,1,8.06149005889893
1,20,11,1,0,0,0,0,1,1,3.97254014015198
1,25,11,1,0,1,0,0,1,1,0
1,17,8,1,0,0,0,0,1,1,0
1,17,9,1,0,0,0,0,1,1,0
1,25,5,1,0,0,0,0,1,1,12.1874008178711
1,23,12,1,0,0,0,0,1,1,4.84318017959595
1,28,8,1,0,0,0,0,1,1,0
1,31,11,1,0,1,0,0,1,1,8.08749008178711
1,18,11,1,0,0,0,0,1,1,0
1,25,12,1,0,0,0,0,1,1,2.34896993637085
1,30,11,1,0,1,0,0,1,1,0.590781986713409
1,17,10,1,0,0,0,0,1,1,0
1,37,9,1,0,0,0,0,1,1,1.06751000881195
1,41,4,1,0,1,0,0,1,1,7.28499031066895
1,42,14,1,0,1,0,0,1,1,13.1674995422363
1,17,8,1,0,0,0,0,1,1,0
1,29,8,1,0,0,0,0,1,1,1.9239399433136
1,35,10,1,0,0,0,0,1,1,4.66624021530151
1,27,11,1,0,0,0,0,1,1,0.549297988414764
1,29,4,1,0,0,0,0,1,1,0.762914955615997
1,28,9,1,0,0,0,0,1,1,10.694299697876
1,27,11,1,0,0,0,0,1,1,0
1,45,5,1,0,1,0,0,1,1,8.54671955108643
1,29,13,1,0,0,0,0,1,1,7.47966003417969
1,27,9,1,0,0,0,0,1,1,0
1,46,13,1,0,0,0,0,1,1,0.647204995155334
1,18,6,1,0,0,0,0,1,1,0
1,25,12,1,0,0,0,0,1,1,11.965799331665
1,28,15,1,0,0,0,0,1,1,9.59854030609131
1,22,12,1,0,0,0,0,1,1,18.6780986785889
1,21,9,1,0,0,0,0,1,1,0
1,40,11,1,0,0,0,0,1,1,23.0055999755859
1,22,11,1,0,0,0,0,1,1,6.45670032501221
1,25,12,1,0,0,0,0,1,1,0
1,18,12,1,0,0,0,0,1,1,2.32111001014709
1,27,13,1,0,0,0,0,1,1,0
1,27,8,1,0,0,0,0,1,1,0
1,38,11,1,0,0,0,0,1,1,0
1,26,11,1,0,0,0,0,1,1,17.2310009002686
1,25,8,1,0,0,0,0,1,1,0
1,31,11,1,0,1,0,0,1,1,14.5099000930786
1,17,10,1,0,0,0,0,1,1,0
1,25,11,1,0,0,0,0,1,1,0
1,21,12,1,0,0,0,0,1,1,9.98377990722656
1,44,11,1,0,0,0,0,1,1,0
1,18,9,1,0,0,0,0,1,1,4.48285007476807
1,42,12,1,0,0,0,0,1,1,2.45614981651306
1,25,10,1,0,0,0,0,1,1,0
1,24,10,1,0,0,0,0,1,1,0
1,26,10,1,0,0,0,0,1,1,9.26578998565674
1,25,11,1,0,0,0,0,1,1,0.485229998826981
1,18,11,1,0,0,0,0,1,1,4.81463003158569
1,19,11,1,0,0,0,0,1,1,7.45810985565186
1,43,9,1,0,0,0,0,1,1,0
1,27,13,1,0,0,0,0,1,1,34.0993003845215
1,17,9,1,0,0,0,0,1,1,1.95327007770538
1,30,11,1,0,0,0,0,1,1,0
1,26,10,1,0,1,2.02800011634827,0,1,0,0
1,20,9,1,0,0,6.0839900970459,0,1,0,8.88166999816895
1,20,12,1,0,0,0.989268004894257,0.165207996964455,0,0,0
1,18,11,1,0,0,0.858254015445709,0.214563995599747,0,0,0.92988395690918
1,27,12,1,0,1,3.67087006568909,0.334049016237259,0,0,0
1,27,12,1,0,0,2.14340996742249,0.357950001955032,0,0,22.1633014678955
1,20,12,1,0,0,0,0.377568989992142,0,1,1.65263998508453
1,19,10,1,0,0,0,0.385273993015289,0,1,8.12472057342529
1,23,12,1,0,0,5.5063099861145,0.501074016094208,0,0,0.671331942081451
1,29,14,1,0,0,0,0.679672956466675,0,1,17.8150005340576
1,18,10,1,0,0,0,0.798907995223999,0,1,9.73715019226074
1,19,9,1,0,0,0,0.798907995223999,0,1,17.6851997375488
1,27,9,1,0,1,0,0.934445023536682,0,1,1.77342009544373
1,22,12,1,0,0,5.60585021972656,0.936177015304565,0,0,0
1,23,10,1,0,1,0,0.936439037322998,0,1,11.2333002090454
1,20,11,1,0,0,3.63750004768372,1.2208399772644,0,0,1.08543992042542
1,17,9,1,0,0,1.71651005744934,1.25343990325928,0,0,5.44519996643066
1,28,11,1,0,0,0,1.28407990932465,0,1,60.3078994750977
1,26,11,1,0,1,0,1.39284992218018,0,1,1.46035993099213
1,20,11,1,0,0,16.3185997009277,1.48499000072479,0,0,6.94333982467651
1,24,11,1,0,1,0.824388980865479,1.66611003875732,0,0,4.03271007537842
1,31,9,1,0,0,0,1.69860994815826,0,1,10.363299369812
1,18,10,1,0,0,2.14340996742249,1.78427004814148,0,0,11.1414003372192
1,29,12,1,0,0,10.8819007873535,1.81728005409241,0,0,0
1,24,9,1,0,0,9.15470027923584,2.28867983818054,0,0,4.84956026077271
1,25,12,1,0,0,14.4267997741699,2.40927004814148,0,0,0
1,24,10,1,0,0,4.25040006637573,2.42194986343384,0,0,1.66051006317139
1,46,8,1,0,0,3.16565990447998,2.59471988677979,0,0,0
1,19,11,1,0,0,2.30503010749817,2.61527991294861,0,0,4.14660024642944
1,19,8,1,0,0,0,2.65706014633179,0,1,9.97067928314209
1,27,11,1,0,0,2.2069399356842,2.6662700176239,0,0,0
1,26,11,1,0,1,0,2.75464987754822,0,1,26.3723011016846
1,20,10,1,0,0,5.00573015213013,2.77736020088196,0,0,5.61519002914429
1,28,10,1,0,0,0,2.83650994300842,0,1,3.19657015800476
1,24,12,1,0,0,13.7657995223999,2.84276008605957,0,0,6.16768026351929
1,19,8,1,0,0,2.63635015487671,2.93725991249084,0,0,7.53594017028809
1,23,12,1,0,0,6.26934003829956,3.03995990753174,0,0,8.48424053192139
1,42,9,1,0,1,0,3.05853009223938,0,1,1.29440999031067
1,25,13,1,0,0,12.3629007339478,3.09072995185852,0,0,0
1,18,9,1,0,0,0,3.28737998008728,0,1,5.01033973693848
1,21,12,1,0,0,6.47368001937866,3.33240985870361,0,0,9.37104034423828
1,27,10,1,0,0,1.0011500120163,3.55008006095886,0,0,0
1,21,8,1,0,0,0.989268004894257,3.69589996337891,0,0,4.27960968017578
1,22,9,1,0,0,2.19287991523743,3.83698987960815,0,0,3.46256017684937
1,31,4,1,0,0,8.5175895690918,4.02321004867554,0,0,7.38254976272583
1,24,10,1,0,1,11.703200340271,4.07814979553223,0,0,0
1,29,10,1,0,0,0,4.39895009994507,0,1,0
1,29,12,1,0,0,9.74838924407959,4.87894010543823,0,0,10.9764995574951
1,31,9,1,0,0,10.7170000076294,5.51783990859985,0,0,9.55850028991699
1,22,10,1,0,1,1.46834993362427,5.58866024017334,0,0,13.2283000946045
1,21,9,1,0,0,6.41647005081177,5.74933004379272,0,0,0.743667006492615
1,17,10,1,0,0,1.29146993160248,5.79384994506836,0,0,5.52278995513916
1,26,12,1,0,1,8.40876007080078,5.79482984542847,0,0,1.42493999004364
1,19,10,1,0,0,4.12195014953613,6.05674982070923,0,0,0
1,26,10,1,0,0,25.9296989440918,6.78895998001099,0,0,0.672877013683319
1,28,11,1,0,0,1.92903006076813,6.87186002731323,0,0,0
1,33,11,1,0,0,0,7.867919921875,0,1,6.2814302444458
1,33,12,1,0,1,20.2800006866455,10.9414005279541,0,0,15.9525995254517
1,25,14,1,0,1,35.0401000976562,11.5365991592407,0,0,36.6469993591309
1,35,9,1,0,1,13.6024007797241,13.8305997848511,0,0,12.8039999008179
1,35,8,1,0,1,13.7320995330811,17.9762001037598,0,0,3.78662991523743
1,33,11,1,0,1,14.6606998443604,25.1421985626221,0,0,4.18194007873535
1,22,9,0,1,0,0,0,1,1,3.59588980674744
1,33,12,0,0,1,0,0,1,1,12.4180994033813
1,41,14,0,0,0,0,0,1,1,5.14949989318848
1,38,9,0,0,0,0,0,1,1,6.4089503288269
1,27,10,0,1,0,0,0,1,1,11.1429004669189
1,19,9,0,0,0,0,0,1,1,13.1887998580933
1,18,8,0,1,1,0,0,1,1,2.78796005249023
1,22,11,0,0,0,0,0,1,1,1.04843008518219
1,23,7,0,0,0,0,0,1,1,0
1,25,11,0,0,0,0,0,1,1,18.7833995819092
1,38,12,0,0,0,0,0,1,1,4.94185018539429
1,23,8,0,1,0,0,0,1,1,3.88127994537354
1,21,12,0,0,0,0,0,1,1,8.04860019683838
1,25,12,0,0,0,0,0,1,1,5.58750009536743
1,31,9,0,1,0,0,0,1,1,26.8176002502441
1,17,9,0,1,0,0.445170015096664,0.0743434950709343,0,0,6.21066999435425
1,21,12,0,0,0,3.67087006568909,0.334049016237259,0,0,12.5579996109009
1,27,13,0,0,1,9.38156986236572,0.853723049163818,0,0,0
1,18,11,0,0,0,3.67823004722595,0.919557988643646,0,0,4.32171010971069
1,23,12,0,1,0,9.38574028015137,1.11743998527527,0,0,0.55944299697876
1,23,8,0,0,1,0,1.71315002441406,0,1,4.23231029510498
1,26,11,0,0,0,0,2.22626996040344,0,1,13.3859004974365
1,31,12,0,0,0,0,2.61121988296509,0,1,2.48454999923706
1,19,10,0,0,0,0,5.32411003112793,0,1,13.8295993804932
1,19,11,0,1,1,5.42449045181274,5.46379995346069,0,0,6.78845977783203
1,20,9,0,1,0,12.260799407959,5.87504959106445,0,0,1.35863995552063
1,22,12,0,1,1,0.492230981588364,7.05570030212402,0,0,10.0928001403809
1,22,12,0,0,0,6.75999021530151,8.45549964904785,0,0,12.5907001495361
1,29,10,0,1,0,0,8.85367012023926,0,1,5.11201000213623
0,50,12,1,0,1,0,0,1,1,0
0,28,12,1,0,1,0,0,1,1,0
0,25,12,1,0,0,0,0,1,1,0
0,50,12,1,0,1,0,0,1,1,0
0,23,12,1,0,0,0,0,1,1,4.72873020172119
0,34,14,1,0,1,0,0,1,1,0
0,36,12,1,0,1,0,0,1,1,17.7326984405518
0,36,12,1,0,1,0,8.95161056518555,0,1,11.8218002319336
0,33,13,1,0,1,0,10.7419004440308,0,1,20.6881999969482
0,25,12,1,0,1,0,21.4839000701904,0,1,1.22060000896454
0,43,12,1,0,1,0.715131998062134,1.87984001636505,0,0,5.91091012954712
0,24,12,1,0,0,0.783706963062286,0,1,0,10.3440999984741
0,23,12,1,0,0,1.07760000228882,3.22258019447327,0,0,5.91091012954712
0,22,12,1,0,1,1.26960003376007,0,1,0,0
0,20,12,1,0,0,1.36756992340088,12.5322999954224,0,0,2.9554500579834
0,21,12,1,0,0,1.95927000045776,5.46048021316528,0,0,1.15262997150421
0,22,12,1,0,1,2.00628995895386,2.47064995765686,0,0,0
0,20,12,1,0,0,2.35112023353577,4.47581005096436,0,0,17.7326984405518
0,28,12,1,0,0,2.93889999389648,2.86452007293701,0,0,0
0,24,12,1,0,0,3.33074998855591,4.65483999252319,0,0,11.8218002319336
