"","gender","ethnicity","birth","grade","star","read","math","lunch","school","degree","ladder","experience","tethnicity","system","schoolid","id","read_lag","math_lag","q30_read","q30_math","bottom30","star_sel"
"1","female","afam",1980 Q1,"kindergarten","small",476,602,"free","inner-city","bachelor","level1",3,"afam","11","28","100017",NA,NA,NA,NA,NA,NA
"2","female","afam",1980 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100017",476,602,419,459,FALSE,NA
"3","female","afam",1980 Q1,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100017",NA,NA,485,507,NA,NA
"4","female","afam",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100017",NA,NA,557,557,NA,NA
"5","female","cauc",1980 Q2,"kindergarten","regular",410,444,"non-free","suburban","master","level1",12,"cauc","22","52","100028",NA,NA,NA,NA,NA,TRUE
"6","female","cauc",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100028",410,444,419,459,TRUE,TRUE
"7","female","cauc",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100028",NA,NA,485,507,NA,NA
"8","female","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100028",NA,NA,557,557,NA,NA
"9","male","cauc",1980 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100045",NA,NA,NA,NA,NA,NA
"10","male","cauc",1980 Q2,"1st","small",507,572,"non-free","suburban","bachelor","level1",20,"cauc","17","41","100045",NA,NA,419,459,NA,NA
"11","male","cauc",1980 Q2,"2nd","small",575,620,"non-free","suburban","master","apprentice",15,"afam","17","41","100045",507,572,485,507,FALSE,FALSE
"12","male","cauc",1980 Q2,"3rd","small",610,655,"non-free","suburban","bachelor","level1",5,"cauc","17","41","100045",575,620,557,557,FALSE,FALSE
"13","female","cauc",1980 Q1,"kindergarten","small",430,484,"non-free","rural","bachelor","level1",19,"cauc","31","64","100064",NA,NA,NA,NA,NA,NA
"14","female","cauc",1980 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100064",430,484,419,459,FALSE,NA
"15","female","cauc",1980 Q1,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100064",NA,NA,485,507,NA,NA
"16","female","cauc",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100064",NA,NA,557,557,NA,NA
"17","female","cauc",1979 Q4,"kindergarten","regular",495,576,"free","rural","bachelor","apprentice",2,"cauc","16","40","100070",NA,NA,NA,NA,NA,TRUE
"18","female","cauc",1979 Q4,"1st","regular+aide",629,592,"free","rural","bachelor","level1",5,"cauc","16","40","100070",495,576,419,459,FALSE,TRUE
"19","female","cauc",1979 Q4,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100070",629,592,485,507,FALSE,NA
"20","female","cauc",1979 Q4,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100070",NA,NA,557,557,NA,NA
"21","female","afam",1980 Q1,"kindergarten","small",418,489,"free","inner-city","bachelor","probation",9,"afam","11","22","100096",NA,NA,NA,NA,NA,NA
"22","female","afam",1980 Q1,"1st","small",524,567,"free","inner-city","master","level1",9,"afam","11","22","100096",418,489,419,459,TRUE,TRUE
"23","female","afam",1980 Q1,"2nd","small",627,603,"free","inner-city","bachelor","notladder",2,"afam","11","22","100096",524,567,485,507,FALSE,FALSE
"24","female","afam",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100096",627,603,557,557,FALSE,NA
"25","male","cauc",1979 Q3,"kindergarten","small",421,459,"non-free","suburban","master","level1",20,"cauc","11","17","10010",NA,NA,NA,NA,NA,NA
"26","male","cauc",1979 Q3,"1st","small",451,468,"non-free","suburban","bachelor","level1",16,"cauc","11","17","10010",421,459,419,459,TRUE,TRUE
"27","male","cauc",1979 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10010",451,468,485,507,TRUE,TRUE
"28","male","cauc",1979 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10010",NA,NA,557,557,NA,NA
"29","female","cauc",1980 Q1,"kindergarten","regular",451,500,"non-free","rural","bachelor","level1",8,"cauc","3","3","100111",NA,NA,NA,NA,NA,TRUE
"30","female","cauc",1980 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100111",451,500,419,459,FALSE,NA
"31","female","cauc",1980 Q1,"2nd","regular",NA,NA,"non-free","rural","bachelor","notladder",23,"cauc","3","3","100111",NA,NA,485,507,NA,TRUE
"32","female","cauc",1980 Q1,"3rd","regular",644,624,"non-free","rural","bachelor","level1",21,"cauc","3","3","100111",NA,NA,557,557,NA,TRUE
"33","female","afam",1980 Q2,"kindergarten","small",437,528,"free","inner-city","bachelor","level1",14,"cauc","11","32","100124",NA,NA,NA,NA,NA,NA
"34","female","afam",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100124",437,528,419,459,FALSE,NA
"35","female","afam",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100124",NA,NA,485,507,NA,NA
"36","female","afam",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100124",NA,NA,557,557,NA,NA
"37","male","afam",1979 Q1,"kindergarten","regular+aide",455,434,"free","inner-city","bachelor","level1",6,"afam","11","26","100143",NA,NA,NA,NA,NA,TRUE
"38","male","afam",1979 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100143",455,434,419,459,TRUE,TRUE
"39","male","afam",1979 Q1,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100143",NA,NA,485,507,NA,NA
"40","male","afam",1979 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100143",NA,NA,557,557,NA,NA
